name,url
GⅢ中山金杯,http://www.jra.go.jp/datafile/seiseki/replay/2016/001.html
GⅢ京都金杯,http://www.jra.go.jp/datafile/seiseki/replay/2016/002.html
GⅢシンザン記念,http://www.jra.go.jp/datafile/seiseki/replay/2016/003.html
GⅢフェアリーS,http://www.jra.go.jp/datafile/seiseki/replay/2016/004.html
GⅢ愛知杯,http://www.jra.go.jp/datafile/seiseki/replay/2016/005.html
GⅢ京成杯,http://www.jra.go.jp/datafile/seiseki/replay/2016/006.html
GⅡ日経新春杯,http://www.jra.go.jp/datafile/seiseki/replay/2016/007.html
GⅡアメリカJCC,http://www.jra.go.jp/datafile/seiseki/replay/2016/008.html
GⅡ東海S,http://www.jra.go.jp/datafile/seiseki/replay/2016/009.html
GⅢ根岸S,http://www.jra.go.jp/datafile/seiseki/replay/2016/010.html
GⅢシルクロードS,http://www.jra.go.jp/datafile/seiseki/replay/2016/011.html
GⅢ東京新聞杯,http://www.jra.go.jp/datafile/seiseki/replay/2016/012.html
GⅢきさらぎ賞,http://www.jra.go.jp/datafile/seiseki/replay/2016/013.html
GⅢクイーンC,http://www.jra.go.jp/datafile/seiseki/replay/2016/014.html
GⅢ共同通信杯,http://www.jra.go.jp/datafile/seiseki/replay/2016/015.html
GⅡ京都記念,http://www.jra.go.jp/datafile/seiseki/replay/2016/016.html
GⅢダイヤモンドS,http://www.jra.go.jp/datafile/seiseki/replay/2016/017.html
GⅢ京都牝馬S,http://www.jra.go.jp/datafile/seiseki/replay/2016/018.html
GⅠフェブラリーS,http://www.jra.go.jp/datafile/seiseki/g1/feb/result/feb2016.html
GⅢ小倉大賞典,http://www.jra.go.jp/datafile/seiseki/replay/2016/019.html
GⅢアーリントンC,http://www.jra.go.jp/datafile/seiseki/replay/2016/020.html
GⅡ中山記念,http://www.jra.go.jp/datafile/seiseki/replay/2016/021.html
GⅢ阪急杯,http://www.jra.go.jp/datafile/seiseki/replay/2016/022.html
GⅢオーシャンS,http://www.jra.go.jp/datafile/seiseki/replay/2016/023.html
GⅢチューリップ賞,http://www.jra.go.jp/datafile/seiseki/replay/2016/024.html
GⅡ弥生賞,http://www.jra.go.jp/datafile/seiseki/replay/2016/025.html
J・GⅡ阪神スプリングジャンプ,http://www.jra.go.jp/datafile/seiseki/replay/2016/026.html
GⅢ中日新聞杯,http://www.jra.go.jp/datafile/seiseki/replay/2016/027.html
GⅢ中山牝馬S,http://www.jra.go.jp/datafile/seiseki/replay/2016/028.html
GⅡフィリーズレビュー,http://www.jra.go.jp/datafile/seiseki/replay/2016/029.html
GⅢファルコンS,http://www.jra.go.jp/datafile/seiseki/replay/2016/030.html
GⅡスプリングS,http://www.jra.go.jp/datafile/seiseki/replay/2016/031.html
GⅡ阪神大賞典,http://www.jra.go.jp/datafile/seiseki/replay/2016/032.html
GⅢフラワーC,http://www.jra.go.jp/datafile/seiseki/replay/2016/033.html
GⅡ日経賞,http://www.jra.go.jp/datafile/seiseki/replay/2016/034.html
GⅢ毎日杯,http://www.jra.go.jp/datafile/seiseki/replay/2016/035.html
GⅢマーチS,http://www.jra.go.jp/datafile/seiseki/replay/2016/036.html
GⅠ高松宮記念,http://www.jra.go.jp/datafile/seiseki/g1/takamatsu/result/takamatsu2016.html
GⅢダービー卿チャレンジT,http://www.jra.go.jp/datafile/seiseki/replay/2016/037.html
GⅡ産経大阪杯,http://www.jra.go.jp/datafile/seiseki/replay/2016/038.html
GⅡニュージーランドT,http://www.jra.go.jp/datafile/seiseki/replay/2016/039.html
GⅡ阪神牝馬S,http://www.jra.go.jp/datafile/seiseki/replay/2016/040.html
GⅠ桜花賞,http://www.jra.go.jp/datafile/seiseki/g1/ouka/result/ouka2016.html
J・GⅠ中山グランドジャンプ,http://www.jra.go.jp/datafile/seiseki/g1/ngj/result/ngj2016.html
GⅢアンタレスS,http://www.jra.go.jp/datafile/seiseki/replay/2016/041.html
GⅠ皐月賞,http://www.jra.go.jp/datafile/seiseki/g1/satsuki/result/satsuki2016.html
GⅢ福島牝馬S,http://www.jra.go.jp/datafile/seiseki/replay/2016/042.html
GⅡフローラS,http://www.jra.go.jp/datafile/seiseki/replay/2016/043.html
GⅡマイラーズC,http://www.jra.go.jp/datafile/seiseki/replay/2016/044.html
GⅡ青葉賞,http://www.jra.go.jp/datafile/seiseki/replay/2016/045.html
GⅠ天皇賞（春）,http://www.jra.go.jp/datafile/seiseki/g1/haruten/result/haruten2016.html
GⅡ京都新聞杯,http://www.jra.go.jp/datafile/seiseki/replay/2016/046.html
GⅠNHKマイルC,http://www.jra.go.jp/datafile/seiseki/g1/nmc/result/nmc2016.html
GⅢ新潟大賞典,http://www.jra.go.jp/datafile/seiseki/replay/2016/047.html
GⅡ京王杯スプリングC,http://www.jra.go.jp/datafile/seiseki/replay/2016/048.html
GⅠヴィクトリアマイル,http://www.jra.go.jp/datafile/seiseki/g1/victoria/result/victoria2016.html
GⅢ平安S,http://www.jra.go.jp/datafile/seiseki/replay/2016/049.html
GⅠオークス,http://www.jra.go.jp/datafile/seiseki/g1/oaks/result/oaks2016.html
J・GⅡ京都ハイジャンプ,http://www.jra.go.jp/datafile/seiseki/replay/2016/050.html
GⅠ日本ダービー,http://www.jra.go.jp/datafile/seiseki/g1/derby/result/derby2016.html
GⅡ目黒記念,http://www.jra.go.jp/datafile/seiseki/replay/2016/051.html
GⅢ鳴尾記念,http://www.jra.go.jp/datafile/seiseki/replay/2016/052.html
