name,url
GⅢ七夕賞,http://www.jra.go.jp/datafile/seiseki/replay/2018/060.html
GⅢプロキオンS,http://www.jra.go.jp/datafile/seiseki/replay/2018/061.html
GⅢ函館記念,http://www.jra.go.jp/datafile/seiseki/replay/2018/062.html
GⅢ中京記念,http://www.jra.go.jp/datafile/seiseki/replay/2018/063.html
GⅢ函館2歳S,http://www.jra.go.jp/datafile/seiseki/replay/2018/064.html
J・GⅢ小倉サマージャンプ,http://www.jra.go.jp/datafile/seiseki/replay/2018/065.html
GⅢアイビスサマーダッシュ,http://www.jra.go.jp/datafile/seiseki/replay/2018/066.html
GⅢクイーンS,http://www.jra.go.jp/datafile/seiseki/replay/2018/067.html
GⅢレパードS,http://www.jra.go.jp/datafile/seiseki/replay/2018/068.html
GⅢ小倉記念,http://www.jra.go.jp/datafile/seiseki/replay/2018/069.html
GⅢ関屋記念,http://www.jra.go.jp/datafile/seiseki/replay/2018/070.html
GⅢエルムS,http://www.jra.go.jp/datafile/seiseki/replay/2018/071.html
GⅢ北九州記念,http://www.jra.go.jp/datafile/seiseki/replay/2018/072.html
GⅡ札幌記念,http://www.jra.go.jp/datafile/seiseki/replay/2018/073.html
J・GⅢ新潟ジャンプS,http://www.jra.go.jp/datafile/seiseki/replay/2018/074.html
GⅢ新潟2歳S,http://www.jra.go.jp/datafile/seiseki/replay/2018/075.html
GⅢキーンランドC,http://www.jra.go.jp/datafile/seiseki/replay/2018/076.html
GⅢ札幌2歳S,http://www.jra.go.jp/datafile/seiseki/replay/2018/077.html
GⅢ新潟記念,http://www.jra.go.jp/datafile/seiseki/replay/2018/078.html
GⅢ小倉2歳S,http://www.jra.go.jp/datafile/seiseki/replay/2018/079.html
GⅢ紫苑S,http://www.jra.go.jp/datafile/seiseki/replay/2018/080.html
GⅢ京成杯オータムH,http://www.jra.go.jp/datafile/seiseki/replay/2018/081.html
GⅡセントウルS,http://www.jra.go.jp/datafile/seiseki/replay/2018/082.html
J・GⅢ阪神ジャンプS,http://www.jra.go.jp/datafile/seiseki/replay/2018/083.html
GⅡローズS,http://www.jra.go.jp/datafile/seiseki/replay/2018/084.html
GⅡセントライト記念,http://www.jra.go.jp/datafile/seiseki/replay/2018/085.html
GⅡオールカマー,http://www.jra.go.jp/datafile/seiseki/replay/2018/086.html
GⅡ神戸新聞杯,http://www.jra.go.jp/datafile/seiseki/replay/2018/087.html
GⅢシリウスS,http://www.jra.go.jp/datafile/seiseki/replay/2018/088.html
GⅠスプリンターズS,http://www.jra.go.jp/datafile/seiseki/g1/sprint/result/sprint2018.html
GⅢサウジアラビアロイヤルC,http://www.jra.go.jp/datafile/seiseki/replay/2018/089.html
