name,url
GⅠフェブラリーS,http://www.jra.go.jp/datafile/seiseki/g1/feb/result/feb2016.html
GⅠ高松宮記念,http://www.jra.go.jp/datafile/seiseki/g1/takamatsu/result/takamatsu2016.html
GⅠ桜花賞,http://www.jra.go.jp/datafile/seiseki/g1/ouka/result/ouka2016.html
J・GⅠ中山グランドジャンプ,http://www.jra.go.jp/datafile/seiseki/g1/ngj/result/ngj2016.html
GⅠ皐月賞,http://www.jra.go.jp/datafile/seiseki/g1/satsuki/result/satsuki2016.html
GⅠ天皇賞（春）,http://www.jra.go.jp/datafile/seiseki/g1/haruten/result/haruten2016.html
GⅠNHKマイルC,http://www.jra.go.jp/datafile/seiseki/g1/nmc/result/nmc2016.html
GⅠヴィクトリアマイル,http://www.jra.go.jp/datafile/seiseki/g1/victoria/result/victoria2016.html
GⅠオークス,http://www.jra.go.jp/datafile/seiseki/g1/oaks/result/oaks2016.html
GⅠ日本ダービー,http://www.jra.go.jp/datafile/seiseki/g1/derby/result/derby2016.html
GⅠ安田記念,http://www.jra.go.jp/datafile/seiseki/g1/yasuda/result/yasuda2016.html
GⅠ宝塚記念,http://www.jra.go.jp/datafile/seiseki/g1/takara/result/takara2016.html
GⅠスプリンターズS,http://www.jra.go.jp/datafile/seiseki/g1/sprint/result/sprint2016.html
GⅠ秋華賞,http://www.jra.go.jp/datafile/seiseki/g1/shuka/result/shuka2016.html
GⅠ菊花賞,http://www.jra.go.jp/datafile/seiseki/g1/kikka/result/kikka2016.html
GⅠ天皇賞（秋）,http://www.jra.go.jp/datafile/seiseki/g1/akiten/result/akiten2016.html
GⅠエリザベス女王杯,http://www.jra.go.jp/datafile/seiseki/g1/eliza/result/eliza2016.html
GⅠマイルチャンピオンシップ,http://www.jra.go.jp/datafile/seiseki/g1/mile/result/mile2016.html
GⅠジャパンC,http://www.jra.go.jp/datafile/seiseki/g1/jc/result/jc2016.html
GⅠチャンピオンズC,http://www.jra.go.jp/datafile/seiseki/g1/jcd/result/jcd2016.html
GⅠ阪神ジュベナイルF,http://www.jra.go.jp/datafile/seiseki/g1/hjf/result/hjf2016.html
GⅠ朝日杯フューチュリティS,http://www.jra.go.jp/datafile/seiseki/g1/afs/result/afs2016.html
J・GⅠ中山大障害,http://www.jra.go.jp/datafile/seiseki/g1/daishogai/result/daishogai2016.html
GⅠ有馬記念,http://www.jra.go.jp/datafile/seiseki/g1/arima/result/arima2016.html
